"","title","year","volnum","issuenum","pagenum","primauth","tri_instance","st","ct","site","jstor","ststring","ctstring","comm","avoid","fulltri"
"11","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT10188",5,"MT","10188","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT10188"
"12","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT10206",5,"MT","10206","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT10206"
"13","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT10207",5,"MT","10207","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT10207"
"14","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT7704",5,"MT","7704","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT7704"
"15","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT7723",5,"MT","7723","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT7723"
"16","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT8943",5,"MT","8943","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT8943"
"17","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT3868",5,"MT","3868","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT3868"
"18","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT123",5,"MT","123","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT123"
"19","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT10246",5,"MT","10246","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT10246"
"20","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT10459",5,"MT","10459","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT10459"
"21","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT10508",5,"MT","10508","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT10508"
"22","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT11338",5,"MT","11338","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT11338"
"23","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT11842",5,"MT","11842","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT11842"
"24","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT3807",5,"MT","3807","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT3807"
"25","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT3901",5,"MT","3901","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT3901"
"26","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT3951",5,"MT","3951","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT3951"
"27","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT5",5,"MT","5","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT5"
"28","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT5152",5,"MT","5152","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT5152"
"29","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT765",5,"MT","765","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT765"
"30","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT4545",5,"MT","4545","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT4545"
"31","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT4613",5,"MT","4613","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT4613"
"32","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT23",5,"MT","23","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT23"
"33","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT4725",5,"MT","4725","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT4725"
"34","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT2182",5,"MT","2182","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT2182"
"35","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT4475",5,"MT","4475","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT4475"
"36","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT4477",5,"MT","4477","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT4477"
"37","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MT2149",5,"MT","2149","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT2149"
"38","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MV1675",5,"MV","1675","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MV1675"
"39","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MV1452",5,"MV","1452","http://www.jstor.org/stable/41331921","Colorado","Mesa Verde","","","5MV1452"
"40","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa","5MV1595",5,"MV","1595","http://www.jstor.org/stable/41331921","Colroado","Mesa Verde","","","5MV1595"
"41","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa","5MV1645",5,"MV","1645","http://www.jstor.org/stable/41331921","Colorado","Mesa Verde","","","5MV1645"
"42","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa","5MT3918",5,"MT","3918","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT3918"
"43","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa","5MT1595",5,"MT","1595","http://www.jstor.org/stable/41331921","Colorado","Montezuma","","","5MT1595"
"44","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa","5MT1825",5,"MT","1825","http://www.jstor.org/stable/41331921","Colorado","Washburn","","","5MT1825"
"45","Identifying Necessity and Sufficiency Relationships in Skeletal-Part Representation Using Fuzzy-Set Theory",2004,69,1,136,"Beaver","45OK4",45,"OK","4","http://www.jstor.org/stable/4128351","Washington","Okanogan","","","45OK4"
"46","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA23939",42,"SA","23939","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23939"
"47","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA23942",42,"SA","23942","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23942"
"48","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA23943",42,"SA","23943","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23943"
"49","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","425A23944",42,"SA","23944","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23944"
"50","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA23945",42,"SA","23945","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23945"
"51","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25376",42,"SA","25376","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25376"
"52","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA21367",42,"SA","21367","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA21367"
"53","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA24619",42,"SA","24619","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA24619"
"54","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA11569",42,"SA","11569","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA11569"
"55","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA24710",42,"SA","24710","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA24710"
"56","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA11571",42,"SA","11571","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA11571"
"57","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25148",42,"SA","25148","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25148"
"58","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA23186",42,"SA","23186","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23186"
"59","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42GR3294",42,"GR","3294","http://www.jstor.org/stable/25470527","Utah","Grand","","","42GR3294"
"60","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42GR3295",42,"GR","3295","http://www.jstor.org/stable/25470527","Utah","Grand","","","42GR3295"
"61","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42GR3296",42,"GR","3296","http://www.jstor.org/stable/25470527","Utah","Grand","","","42GR3296"
"62","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25184",42,"SA","25184","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25184"
"63","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25185",42,"SA","25185","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25185"
"64","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25187",42,"SA","25187","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25187"
"65","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25188",42,"SA","25188","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25188"
"66","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25189",42,"SA","25189","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25189"
"67","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25192",42,"SA","25192","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25192"
"68","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25193",42,"SA","25193","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25193"
"69","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck","42SA25194",42,"SA","25194","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25194"
"70","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1770",42,"MD","1770","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1770"
"71","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1772",42,"MD","1772","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1772"
"72","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1773",42,"MD","1773","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1773"
"73","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1775",42,"MD","1775","http://www.jstor.org/stable/25470527","Utsh","Millard","","","42MD1775"
"74","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1776",42,"MD","1776","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1776"
"75","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1777",42,"MD","1777","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1777"
"76","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1778",42,"MD","1778","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1778"
"77","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1779",42,"MD","1779","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1779"
"78","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1780",42,"MD","1780","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1780"
"79","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1781",42,"MD","1781","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1781"
"80","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1782",42,"MD","1782","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1782"
"81","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1784",42,"MD","1784","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1784"
"82","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,768,"Beck","42MD1785",42,"MD","1785","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1785"
"83","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1786",42,"MD","1786","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1786"
"84","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1787",42,"MD","1787","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1787"
"85","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck","42MD1791",42,"MD","1791","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1791"
"86","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck","42SA23941",42,"SA","23941","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23941"
"87","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck","42SA23493",42,"SA","23493","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23493"
"88","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck","42SA23944",42,"SA","23944","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA23944"
"89","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck","425SA25187",42,"SA","25187","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25187"
"90","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck","42SA25191",42,"SA","25191","http://www.jstor.org/stable/25470527","Utah","Sanpete","","","42SA25191"
"91","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck","42MD1769",42,"MD","1769","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1769"
"92","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,772,"Beck","42MD1625",42,"MD","1625","http://www.jstor.org/stable/25470527","Utah","Millard","","","42MD1625"
"93","Clovis and Western Stemmed: Population Migration and the Meeting of Two Technologies in the Intermountain West",2010,75,1,93,"Beck","5GN149",5,"GN","149","ttp://www.jstor.org/stable/20622483","Colorado","Gunnison","","","5GN149"
"94","Jake Bluff: Clovis Bison Hunting on the Southern Plains of North America       ",2010,75,4,911,"Bement","34HP60",34,"HP","60","ttp://www.jstor.org/stable/25766237","Oklahoma","Harper","","","34HP60"
"95","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,157,"Benedict","5BL65",5,"BL","65","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL65"
"96","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,160,"Benedict","5BL103",5,"BL","103","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL103"
"97","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,160,"Benedict","5BL127",5,"BL","127","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL127"
"98","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict","5BL147",5,"BL","147","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL147"
"99","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict","5LR6",5,"LR","6","http://www.jstor.org/stable/25470542","Colorado","Garfield","","","5LR6"
"100","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict","5CF373",5,"CF","373","http://www.jstor.org/stable/25470542","Colorado","Chaffee","","","5CF373"
"101","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,162,"Benedict","5BL114",5,"BL","114","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL114"
"102","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,163,"Benedict","5GA55",5,"GA","55","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5GA55"
"103","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,163,"Benedict","5BL523",5,"BL","523","http://www.jstor.org/stable/25470542","Colorado","Boulder","","","5BL523"
"104","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,236,"Betts","47LC394",47,"LC","394","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC394"
"105","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,236,"Betts","47LC95",47,"LC","95","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC95"
"106","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","13AM18A",13,"AM","18A","http://www.jstor.org/stable/40035904","Iowa","Allamakee","","","13AM18A"
"107","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","13AM200",13,"AM","200","http://www.jstor.org/stable/40035904","Iowa","Allamakee","","","13AM200"
"108","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","13AM201",13,"AM","201","http://www.jstor.org/stable/40035904","Iowa","Allamakee","","","13AM201"
"109","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","13AM403",13,"AM","403","http://www.jstor.org/stable/40035904","Iowa","Allamakee","","","13AM403"
"110","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","13AM404",13,"AM","404","http://www.jstor.org/stable/40035904","Iowa","Allamakee","","","13AM404"
"111","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","21HU2",21,"HU","2","http://www.jstor.org/stable/40035904","Minnesota","Houston","","","21HU2"
"112","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","21HU6",21,"HU","6","http://www.jstor.org/stable/40035904","Minnesota","Houston","","","21HU6"
"113","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","21HU148",21,"HU","148","http://www.jstor.org/stable/40035904","Minnesota","Houston","","","21HU148"
"114","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC19",47,"LC","19","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC19"
"115","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC20",47,"LC","20","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC20"
"116","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC34",47,"LC","34","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC34"
"117","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC43",47,"LC","43","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC43"
"118","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC44",47,"LC","44","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC44"
"119","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC45",47,"LC","45","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC45"
"120","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC61",47,"LC","61","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC61"
"121","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts","47LC149",47,"LC","149","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","","","47LC149"
