Title,Year ,Volume Number,Issue Number,Page Number,Primary Author's Last Name,Trinomial Instance,JSTOR LINK,State,County ,Comments,Avoid (H/M/L)
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT7723,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT8943,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT3868,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT123,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT10246,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT10459,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT10508,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT11338,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT11842,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT3807,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT3901,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT3951,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT5,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT5152,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT765,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT4545,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT4613,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT23,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT4725,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT2182,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT4475,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT4477,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MT2149,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MV1675,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MV1452,http://www.jstor.org/stable/41331921,Colorado,Mesa Verde,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,Arakawa,5MV1595,http://www.jstor.org/stable/41331921,Colroado,Mesa Verde,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,Arakawa,5MV1645,http://www.jstor.org/stable/41331921,Colorado,Mesa Verde,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,Arakawa,5MT3918,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,Arakawa,5MT1595,http://www.jstor.org/stable/41331921,Colorado,Montezuma,,
"Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,Arakawa,5MT1825,http://www.jstor.org/stable/41331921,Colorado,Washburn,,
Identifying Necessity and Sufficiency Relationships in Skeletal-Part Representation Using Fuzzy-Set Theory,2004,69,1,136,Beaver,45OK4,http://www.jstor.org/stable/4128351,Washington,Okanogan,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA23939,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA23942,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA23943,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,425A23944,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA23945,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25376,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA21367,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA24619,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA11569,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA24710,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA11571,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25148,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA23186,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42GR3294,http://www.jstor.org/stable/25470527,Utah,Grand,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42GR3295,http://www.jstor.org/stable/25470527,Utah,Grand,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42GR3296,http://www.jstor.org/stable/25470527,Utah,Grand,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25184,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25185,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25187,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25188,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25189,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25192,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25193,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,764,Beck,42SA25194,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1770,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1772,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1773,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1775,http://www.jstor.org/stable/25470527,Utsh,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1776,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1777,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1778,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1779,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1780,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1781,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1782,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1784,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,768,Beck,42MD1785,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1786,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1787,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,765,Beck,42MD1791,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,757,Beck,42SA23941,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,757,Beck,42SA23493,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,757,Beck,42SA23944,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,767,Beck,425SA25187,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,767,Beck,42SA25191,http://www.jstor.org/stable/25470527,Utah,Sanpete,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,767,Beck,42MD1769,http://www.jstor.org/stable/25470527,Utah,Millard,,
Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites,2008,73,4,772,Beck,42MD1625,http://www.jstor.org/stable/25470527,Utah,Millard,,
Clovis and Western Stemmed: Population Migration and the Meeting of Two Technologies in the Intermountain West,2010,75,1,93,Beck,5GN149,ttp://www.jstor.org/stable/20622483,Colorado,Gunnison,,
Jake Bluff: Clovis Bison Hunting on the Southern Plains of North America       ,2010,75,4,911,Bement,34HP60,ttp://www.jstor.org/stable/25766237,Oklahoma,Harper,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,157,Benedict,5BL65,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,160,Benedict,5BL103,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,160,Benedict,5BL127,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,161,Benedict,5BL147,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,161,Benedict,5LR6,http://www.jstor.org/stable/25470542,Colorado,Garfield,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,161,Benedict,5CF373,http://www.jstor.org/stable/25470542,Colorado,Chaffee,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,162,Benedict,5BL114,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,163,Benedict,5GA55,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
A Review of Lichenometric Dating and Its Applications to Archaeology,2009,74,1,163,Benedict,5BL523,http://www.jstor.org/stable/25470542,Colorado,Boulder,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,236,Betts,47LC394,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,236,Betts,47LC95,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM18A,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM200,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM201,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM403,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM404,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,21HU2,http://www.jstor.org/stable/40035904,Minnesota,Houston,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,21HU6,http://www.jstor.org/stable/40035904,Minnesota,Houston,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,21HU148,http://www.jstor.org/stable/40035904,Minnesota,Houston,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC19,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC20,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC34,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC43,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC44,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC45,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC61,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC149,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC167,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC176,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC262,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC359,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,47LC432,http://www.jstor.org/stable/40035904,Wisconsin,La Crosse,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM1,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM2,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM21,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,241,Betts,13AM23,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,241,Betts,13AM36,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM42,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,240,Betts,13AM52,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,241,Betts,13AM61,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,241,Betts,13AM62,http://www.jstor.org/stable/40035904,Iowa,Allamakee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,241,Betts,13AM63,http://www.jstor.org/stable/40035904,Iowa,Allamakwee,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,245,Betts,21HU1,http://www.jstor.org/stable/40035904,Minnesota,Houston,,
Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley,2006,71,2,259,Betts,21HU26,http://www.jstor.org/stable/40035904,Minnesota,Houston,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1HA7,http://www.jstor.org/stable/4128421,Alabama,Hale,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1HO27,http://www.jstor.org/stable/4128425,Alabama,Houston,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1JE12,http://www.jstor.org/stable/4128425,Alabama,Jefferson,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1JE14,http://www.jstor.org/stable/4128425,Alabama,Jefferson,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1PI85,http://www.jstor.org/stable/4128425,Alabama,Pickens,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1TU500,http://www.jstor.org/stable/4128425,Alabama,Tuscaloosa,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,1TU56,http://www.jstor.org/stable/4128425,Alabama,Tuscaloosa,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,8LE1,http://www.jstor.org/stable/4128425,Florida,Leon,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,9BR3,http://www.jstor.org/stable/4128425,Georgia,Bartow,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,9CH1,http://www.jstor.org/stable/4128425,Georgia,Chatham,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,9CK5,http://www.jstor.org/stable/4128425,Georgia,Cherokee,,
Sociopolitical Implications of Mississippian Mound Volume,2004,69,2,294,Blitz,9CY62,http://www.jstor.org/stable/4128425,Georgia,Clay,,
