"","title","year","volnum","issuenum","pagenum","primauth","st","ct","site","jstor","ststring","ctstring","comm","avoid"
"11","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","10188","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"12","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","10206","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"13","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","10207","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"14","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","7704","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"15","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","7723","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"16","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","8943","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"17","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","3868","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"18","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","123","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"19","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","10246","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"20","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","10459","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"21","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","10508","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"22","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","11338","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"23","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","11842","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"24","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","3807","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"25","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","3901","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"26","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","3951","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"27","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","5","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"28","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","5152","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"29","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","765","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"30","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","4545","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"31","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","4613","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"32","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","23","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"33","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","4725","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"34","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","2182","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"35","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","4475","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"36","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","4477","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"37","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MT","2149","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"38","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MV","1675","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"39","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MV","1452","http://www.jstor.org/stable/41331921","Colorado","Mesa Verde","",""
"40","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,777,"Arakawa",5,"MV","1595","http://www.jstor.org/stable/41331921","Colroado","Mesa Verde","",""
"41","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa",5,"MV","1645","http://www.jstor.org/stable/41331921","Colorado","Mesa Verde","",""
"42","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa",5,"MT","3918","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"43","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa",5,"MT","1595","http://www.jstor.org/stable/41331921","Colorado","Montezuma","",""
"44","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado",2011,76,4,782,"Arakawa",5,"MT","1825","http://www.jstor.org/stable/41331921","Colorado","Washburn","",""
"45","Identifying Necessity and Sufficiency Relationships in Skeletal-Part Representation Using Fuzzy-Set Theory",2004,69,1,136,"Beaver",45,"OK","4","http://www.jstor.org/stable/4128351","Washington","Okanogan","",""
"46","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23939","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"47","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23942","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"48","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23943","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"49","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23944","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"50","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23945","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"51","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25376","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"52","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","21367","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"53","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","24619","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"54","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","11569","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"55","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","24710","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"56","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","11571","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"57","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25148","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"58","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","23186","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"59","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"GR","3294","http://www.jstor.org/stable/25470527","Utah","Grand","",""
"60","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"GR","3295","http://www.jstor.org/stable/25470527","Utah","Grand","",""
"61","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"GR","3296","http://www.jstor.org/stable/25470527","Utah","Grand","",""
"62","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25184","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"63","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25185","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"64","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25187","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"65","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25188","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"66","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25189","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"67","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25192","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"68","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25193","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"69","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,764,"Beck",42,"SA","25194","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"70","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1770","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"71","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1772","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"72","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1773","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"73","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1775","http://www.jstor.org/stable/25470527","Utsh","Millard","",""
"74","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1776","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"75","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1777","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"76","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1778","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"77","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1779","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"78","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1780","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"79","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1781","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"80","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1782","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"81","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1784","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"82","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,768,"Beck",42,"MD","1785","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"83","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1786","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"84","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1787","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"85","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,765,"Beck",42,"MD","1791","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"86","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck",42,"SA","23941","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"87","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck",42,"SA","23493","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"88","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,757,"Beck",42,"SA","23944","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"89","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck",42,"SA","25187","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"90","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck",42,"SA","25191","http://www.jstor.org/stable/25470527","Utah","Sanpete","",""
"91","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,767,"Beck",42,"MD","1769","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"92","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites",2008,73,4,772,"Beck",42,"MD","1625","http://www.jstor.org/stable/25470527","Utah","Millard","",""
"93","Clovis and Western Stemmed: Population Migration and the Meeting of Two Technologies in the Intermountain West",2010,75,1,93,"Beck",5,"GN","149","ttp://www.jstor.org/stable/20622483","Colorado","Gunnison","",""
"94","Jake Bluff: Clovis Bison Hunting on the Southern Plains of North America       ",2010,75,4,911,"Bement",34,"HP","60","ttp://www.jstor.org/stable/25766237","Oklahoma","Harper","",""
"95","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,157,"Benedict",5,"BL","65","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"96","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,160,"Benedict",5,"BL","103","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"97","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,160,"Benedict",5,"BL","127","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"98","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict",5,"BL","147","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"99","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict",5,"LR","6","http://www.jstor.org/stable/25470542","Colorado","Garfield","",""
"100","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,161,"Benedict",5,"CF","373","http://www.jstor.org/stable/25470542","Colorado","Chaffee","",""
"101","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,162,"Benedict",5,"BL","114","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"102","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,163,"Benedict",5,"GA","55","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"103","A Review of Lichenometric Dating and Its Applications to Archaeology",2009,74,1,163,"Benedict",5,"BL","523","http://www.jstor.org/stable/25470542","Colorado","Boulder","",""
"104","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,236,"Betts",47,"LC","394","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"105","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,236,"Betts",47,"LC","95","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"106","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","18A","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"107","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","200","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"108","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","201","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"109","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","403","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"110","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","404","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"111","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",21,"HU","2","http://www.jstor.org/stable/40035904","Minnesota","Houston","",""
"112","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",21,"HU","6","http://www.jstor.org/stable/40035904","Minnesota","Houston","",""
"113","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",21,"HU","148","http://www.jstor.org/stable/40035904","Minnesota","Houston","",""
"114","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","19","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"115","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","20","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"116","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","34","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"117","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","43","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"118","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","44","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"119","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","45","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"120","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","61","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"121","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","149","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"122","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","167","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"123","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","176","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"124","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","262","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"125","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","359","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"126","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",47,"LC","432","http://www.jstor.org/stable/40035904","Wisconsin","La Crosse","",""
"127","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","1","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"128","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","2","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"129","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","21","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"130","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,241,"Betts",13,"AM","23","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"131","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,241,"Betts",13,"AM","36","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"132","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","42","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"133","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,240,"Betts",13,"AM","52","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"134","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,241,"Betts",13,"AM","61","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"135","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,241,"Betts",13,"AM","62","http://www.jstor.org/stable/40035904","Iowa","Allamakee","",""
"136","Pots and Pox: The Identification of Protohistoric Epidemics in the Upper Mississippi Valley",2006,71,2,241,"Betts",13,"AM","63","http://www.jstor.org/stable/40035904","Iowa","Allamakwee","",""
